Company,Market Cap
Transdigm Group Inc.,47299142061
Valero Energy Corporation,47171490774
Keurig Dr Pepper Inc.,47157502166
"Constellation Brands, Inc.",47126533141
"MetLife, Inc.",46820918533
Edwards Lifesciences Corporation,46554232956
"Motorola Solutions, Inc.",46378007432
"Republic Services, Inc.",46272159042
General Motors Company,45569980121
Trane Technologies plc,44982944153
"Fortinet, Inc.",44889857888
The Hershey Company,44733542105
Carrier Global Corporation,44720954523
"AutoZone, Inc.",44634454686
DBA Sempra,44501454004
AFLAC Incorporated,44465578484
Archer-Daniels-Midland Company,44405297970
PACCAR Inc.,44260681014
"Paychex, Inc.",43438555136
Kimberly-Clark Corporation,43368862403
Crown Castle Inc.,43276780689
Microchip Technology Incorporated,43225585100
"Old Dominion Freight Line, Inc.",42995898919
"Autodesk, Inc.",42676891922
Welltower Inc.,42426850696
"Williams Companies, Inc. (The)",42294976607
Nucor Corporation,41869944440
"Copart, Inc.",41460875531
The Kraft Heinz Company,41344396816
"American International Group, Inc. New",41254582631
MSCI Inc.,41139536988
"DexCom, Inc.",41133802998
"General Mills, Inc.",40804707812
Las Vegas Sands Corp.,40775610288
"American Electric Power Company, Inc.",40709208895
"Dominion Energy, Inc.",40524914060
"Ross Stores, Inc.",40442662027
Johnson Controls International plc,40336176749
Realty Income Corporation,40315835840
"IDEXX Laboratories, Inc.",40155591970
TE Connectivity Ltd. New Switzerland Registered Shares,40089961794
Capital One Financial Corporation,40066608402
Exelon Corporation,39818718370
"D.R. Horton, Inc.",39685570607
Hilton Worldwide Holdings Inc.,39436241542
"IQVIA Holdings, Inc.",39184501014
ON Semiconductor Corporation,39152622117
"Kinder Morgan, Inc.",38836921228
"Moderna, Inc.",38675818252
Truist Financial Corporation,38334266994
Dow Inc.,37980089510
Biogen Inc.,37820613606
"Simon Property Group, Inc.",37348857720
"The Travelers Companies, Inc.",37196259853
"Digital Realty Trust, Inc.",36885126470
AmerisourceBergen Corporation,36234062305
Sysco Corporation,36212584375
"Yum! Brands, Inc.",36180879085
"Corteva, Inc.",36027619693
Dollar General Corporation,35750412530
"AMETEK, Inc.",35633484769
Baker Hughes Company,35600396505
Halliburton Company,35402723240
"Agilent Technologies, Inc.",35223566565
"W.W. Grainger, Inc.",35178118744
Pacific Gas & Electric Co.,34965556809
Cognizant Technology Solutions Corporation,34746850091
"DuPont de Nemours, Inc.",34613202897
Centene Corporation,34492224212
Otis Worldwide Corporation,34475407689
"L3Harris Technologies, Inc.",34323800660
The Bank of New York Mellon Corporation,34282000487
Kroger Company (The),34143153872
"Ameriprise Financial, Inc.",34109837410
Constellation Energy Corporation,33693159671
"Prudential Financial, Inc.",33686399336
"Verisk Analytics, Inc.",33492553797
"Rockwell Automation, Inc.",33486310147
Lennar Corporation,33253127551
Cummins Inc.,33091600533
"PPG Industries, Inc.",32861130701
Fastenal Company,32845933656
"Fidelity National Information Services, Inc.",32816665687
Brown Forman Inc,32777590369
Global Payments Inc.,32254843664
Xcel Energy Inc.,32093691218
Electronic Arts Inc.,32065103661
Devon Energy Corporation,32028594507
"CoStar Group, Inc.",31968671983
LyondellBasell Industries NV,31573566550
"Dollar Tree, Inc.",31473233922
"Warner Bros. Discovery, Inc. – Series A",31149774743
GE HealthCare Technologies Inc.,31092740873
"United Rentals, Inc.",30823490807
"Consolidated Edison, Inc.",30808574522
HP Inc.,30623796049
Newmont Corporation,30358778395
Public Service Enterprise Group Incorporated,30355935039
VICI Properties Inc.,30068411822
"Quanta Services, Inc.",29485556313
"ONEOK, Inc.",29367465542
"West Pharmaceutical Services, Inc.",28641162474
Vulcan Materials Company (Holding Company),28141054023
Arch Capital Group Ltd.,28061078428
Allstate Corporation (The),27776518622
Corning Incorporated,27423368120
"WEC Energy Group, Inc.",27124217149
Aptiv PLC,27117191257
"American Water Works Company, Inc.",27051153636
Ingersoll Rand Inc.,26888520479
CDW Corporation,26849788706
"Align Technology, Inc.",26814348905
Fortive Corporation,26782014150
Extra Space Storage Inc,26713801747
"Delta Air Lines, Inc.",26695428470
"Martin Marietta Materials, Inc.",26648120683
"Diamondback Energy, Inc.",26472277971
"Illumina, Inc.",26470927558
Edison International,26462257324
"Mettler-Toledo International, Inc.",25902812743
"Gartner, Inc.",25866495836
CBRE Group Inc,25496578260
"Nasdaq, Inc.",25450176296
"AvalonBay Communities, Inc.",25423547900
Royal Caribbean Cruises Ltd.,25412398028
"ANSYS, Inc.",25394198567
"Zimmer Biomet Holdings, Inc.",24904346934
ResMed Inc.,24365321134
Equity Residential,24167105804
"T. Rowe Price Group, Inc.",24136394198
Xylem Inc.,23952806803
SBA Communications Corporation,23946080316
Tractor Supply Company,23863741820
"Equifax, Inc.",23581893254
Weyerhaeuser Company,23500855113
"Take-Two Interactive Software, Inc.",23344937234
Discover Financial Services,23330145444
Keysight Technologies Inc.,23075436555
"Monolithic Power Systems, Inc.",23042851851
"Walgreens Boots Alliance, Inc.",22910957788
"Church & Dwight Company, Inc.",22904513082
"McCormick & Company, Incorporated",22897411947
eBay Inc.,22877444824
"Ulta Beauty, Inc.",22556636549
Eversource Energy (D/B/A),22505561561
STERIS plc (Ireland),22114192898
"Hartford Financial Services Group, Inc. (The)",21963744975
Hewlett Packard Enterprise Company,21955806240
"Raymond James Financial, Inc.",21949247064
DTE Energy Company,21770081535
Genuine Parts Company,21749626175
State Street Corporation,21651610699
"Cardinal Health, Inc.",21521017385
Albemarle Corporation,21520223515
Hormel Foods Corporation,21462877957
M&T Bank Corporation,21189871113
Kellogg Company,21174142244
Ameren Corporation,21169731270
Baxter International Inc.,21162657247
"Broadridge Financial Solutions, Inc.",21142918055
Fair Isaac Corporation,21032433973
Coterra Energy Inc.,20975165115
Willis Towers Watson Public Limited Company,20853466852
"VeriSign, Inc.",20764952544
FirstEnergy Corp.,20738516151
Invitation Homes Inc.,20512773371
"Brown & Brown, Inc.",20247139684
Entergy Corporation,20210926603
Howmet Aerospace Inc.,20107506873
"Alexandria Real Estate Equities, Inc.",20102417897
Westinghouse Air Brake Technologies Corporation,19946161288
"Rollins, Inc.",19865604921
"NVR, Inc.",19843738198
"J.B. Hunt Transport Services, Inc.",19739854678
Dover Corporation,19662063762
Carnival Corporation,19539465362
Garmin Ltd.,19441906966
"First Solar, Inc.",19433698483
"Live Nation Entertainment, Inc.",19422461727
"FleetCor Technologies, Inc.",19393853060
"Darden Restaurants, Inc.",19154797608
Southwest Airlines Company,19149624084
Clorox Company (The),19050628146
"Tyson Foods, Inc.",19041794421
Teledyne Technologies Incorporated,19000723618
Laboratory Corporation of America Holdings,18998497128
"Targa Resources, Inc.",18959615960
PPL Corporation,18648340336
Principal Financial Group Inc,18483939432
Regions Financial Corporation,18335895562
Molina Healthcare Inc,18319608038
"The Cooper Companies, Inc.",18266444058
"Hologic, Inc.",17917512979
"CenterPoint Energy, Inc (Holding Co)",17793079273
"Enphase Energy, Inc.",17772560194
"Steel Dynamics, Inc.",17432416419
Fifth Third Bancorp,17423942985
"PulteGroup, Inc.",17402024374
Atmos Energy Corporation,17364171547
Ball Corporation,17192747934
"Best Buy Co., Inc.",17149165469
"Expeditors International of Washington, Inc.",17130929366
Iron Mountain Incorporated (Delaware),17090877940
"Paycom Software, Inc.",17010591901
Bunge Limited Bunge Limited,16951788665
Jacobs Solutions Inc.,16816288687
"Mid-America Apartment Communities, Inc.",16760646235
"Skyworks Solutions, Inc.",16688402341
PTC Inc.,16628330745
CMS Energy Corporation,16608000108
IDEX Corporation,16588516144
FactSet Research Systems Inc.,16379991200
Cincinnati Financial Corporation,16292648435
"International Flavors & Fragrances, Inc.",16257038604
Huntington Bancshares Incorporated,16129408764
"United Airlines Holdings, Inc.",16103803158
Marathon Oil Corporation,15984085071
Waters Corporation,15957788758
W.R. Berkley Corporation,15950992307
Northern Trust Corporation,15885500213
Fox Corporation,15882819682
"Expedia Group, Inc.",15880434951
"NetApp, Inc.",15876504006
"Cboe Global Markets, Inc.",15840189893
Fox Corporation,15827508133
Omnicom Group Inc.,15787922806
EQT Corporation,15721259481
"Tyler Technologies, Inc.",15660322516
"Teradyne, Inc.",15564628272
"Akamai Technologies, Inc.",15307872094
"CF Industries Holdings, Inc.",15252509998
"Essex Property Trust, Inc.",15176141995
"Everest Group, Ltd.",15121807278
Quest Diagnostics Incorporated,14983373204
"Axon Enterprise, Inc.",14959474854
MGM Resorts International,14926825903
Textron Inc.,14904812353
J.M. Smucker Company (The) New,14495721164
"ConAgra Brands, Inc.",14426798781
Incyte Corporation,14350575608
Insulet Corporation,14320659040
Avery Dennison Corporation,14275248552
Snap-On Incorporated,14210738458
Amcor plc,14081716005
"Revvity, Inc.",14054537712
LKQ Corporation,14017277724
Zebra Technologies Corporation,13963008080
Loews Corporation,13889077998
"EPAM Systems, Inc.",13875229380
Synchrony Financial,13871133172
"Lamb Weston Holdings, Inc.",13814381270
"Stanley Black & Decker, Inc.",13747798996
Molson Coors Beverage Company,13659777672
Pool Corporation,13648272928
APA Corporation,13587276256
Viatris Inc.,13506735802
Seagate Technology Holdings PLC,13345754687
Domino’s Pizza Inc,13295983656
Nordson Corporation,13240734933
Packaging Corporation of America,13215717773
"Leidos Holdings, Inc.",13199442297
Mosaic Company (The),13128383057
Trimble Inc.,13106417733
"Franklin Resources, Inc.",13103157503
"Citizens Financial Group, Inc.",13087278227
CarMax Inc,13050712231
Gen Digital Inc.,13025375345
"Evergy, Inc.",12955201859
Celanese Corporation,12811907064
Alliant Energy Corporation,12792640463
Masco Corporation,12773550021
Campbell Soup Company,12767276566
Western Digital Corporation,12714314114
"UDR, Inc.",12668514888
"Interpublic Group of Companies, Inc. (The)",12452637209
"Match Group, Inc.",12347052590
Bio-Techne Corp,12317835653
The AES Corporation,12060019390
News Corporation,11952807061
News Corporation,11941302916
International Paper Company,11940429299
Kimco Realty Corporation (HC),11746784396
Camden Property Trust,11353978655
"Jack Henry & Associates, Inc.",11297858295
Host Hotels,11250473110
"Caesars Entertainment, Inc.",11216602452
"Healthpeak Properties, Inc.",11195662015
FMC Corporation,11101283966
"Bio-Rad Laboratories, Inc.",11078910391
"C.H. Robinson Worldwide, Inc.",11059815670
Pentair plc.,10996547428
NiSource Inc,10926457806
Ceridian HCM Holding Inc.,10871092807
"Wynn Resorts, Limited",10696343017
Globe Life Inc.,10661524446
Regency Centers Corporation,10502247044
A.O. Smith Corporation,10371810403
Teleflex Incorporated,10225964365
"Charles River Laboratories International, Inc.",10197872196
KeyCorp,10136001927
"Henry Schein, Inc.",9992333348
Eastman Chemical Company,9914815964
"Boston Properties, Inc.",9891878595
"American Airlines Group, Inc.",9826571023
Paramount Global,9777476050
"Qorvo, Inc.",9689217753
Allegion plc,9447763156
"MarketAxess Holdings, Inc.",9351536705
BorgWarner Inc.,9317898137
DaVita Inc.,9272428253
"F5, Inc.",9211473469
"SolarEdge Technologies, Inc.",9181596018
"Etsy, Inc.",9075957865
"Juniper Networks, Inc.",9062356138
Pinnacle West Capital Corporation,8866680052
"Hasbro, Inc.",8846118248
"Huntington Ingalls Industries, Inc.",8748547609
"Bath & Body Works, Inc.",8359850871
"NRG Energy, Inc.",8351330487
Westrock Company,8229130931
"Catalent, Inc.",7996854015
Robert Half Inc.,7993692328
"Universal Health Services, Inc.",7988758160
DENTSPLY SIRONA Inc.,7897006636
Federal Realty Investment Trust,7891495663
V.F. Corporation,7781256556
Ralph Lauren Corporation,7536188250
"Assurant, Inc.",7460822436
Whirlpool Corporation,7408622278
Norwegian Cruise Line Holdings Ltd.,7096065671
Generac Holdings Inc.,7055196136
Invesco Ltd,6836977250
Comerica Incorporated,6229076130
"Mohawk Industries, Inc.",6216015268
Organon & Co.,5747731853
"Alaska Air Group, Inc.",5441388923
Zions Bancorporation N.A.,5145080633
Sealed Air Corporation,4976373834
Lincoln National Corporation,4368181590
Newell Brands Inc.,4365668193
DXC Technology Company,4154780819
Advance Auto Parts Inc.,4150964094
"Tapestry, Inc.",4017225400
